
================================================================================
       Solver:RDA    Version: 0.1 (2023-05-02)  
================================================================================
Problem Summary: Excuted at 2023-05-04 11:55:08.180855
Dataset:.............................................a9a
Data Size:......................................n=32561, p=123
Loss Function:..................................Logistic
Regularizer:....................................Overlapping Group L1
Penalty Parameter:..............................lambda=0.0036
Number of groups:..............................14

Algorithm Parameters:
 Termination Conditions:
    accuracy: -1.0 | optim scaled: True | time limits:43200.0 | epoch limits:100
 Sampling Setups: batchsize: 256 | shuffle: True
 Proximal Stepsize update: increasing
 Compute Optimality measure: True
Inexact Proximal Solver:
 exact solve:False | ipg_strategy:diminishing | ipg_do_linesearch:True
 ipg_diminishing_c:1 | ipg_diminishing_delta:2
 ipg_linesearch_eta:0.0001 | ipg_linesearch_xi:0.8 | ipg_linesearch_beta:1.2
****************************************************************************************************
 Epoch.   Obj.    alphak      #z   #nz   |egradf| |   optim     #pz    #pnz |
   120 5.083e-01 1.239e+04    12     2  4.616e-04 | 3.463e-04    12      2  |
   121 5.083e-01 1.245e+04    12     2  6.374e-04 | 4.330e-04    12      2  |
   122 5.083e-01 1.250e+04    12     2  5.016e-04 | 5.978e-04    12      2  |
   123 5.083e-01 1.255e+04    12     2  1.063e-03 | 9.624e-04    12      2  |
   124 5.083e-01 1.260e+04    12     2  4.862e-04 | 3.234e-04    12      2  |
   125 5.083e-01 1.265e+04    12     2  1.234e-03 | 6.684e-04    13      1  |
   126 5.083e-01 1.270e+04    12     2  4.621e-04 | 3.188e-04    12      2  |
   127 5.083e-01 1.275e+04    12     2  4.699e-04 | 3.382e-04    12      2  |
   128 5.083e-01 1.280e+04    12     2  1.073e-03 | 9.301e-04    12      2  |
   129 5.083e-01 1.285e+04    12     2  8.340e-04 | 4.452e-04    12      2  |
   130 5.083e-01 1.290e+04    12     2  1.013e-03 | 5.924e-04    12      2  |
   131 5.083e-01 1.295e+04    12     2  2.199e-03 | 8.045e-04    13      1  |
   132 5.083e-01 1.300e+04    12     2  4.646e-04 | 3.852e-04    12      2  |
   133 5.083e-01 1.305e+04    12     2  2.908e-04 | 3.930e-04    12      2  |
   134 5.083e-01 1.310e+04    12     2  4.849e-04 | 3.483e-04    12      2  |
   135 5.083e-01 1.315e+04    12     2  4.908e-04 | 6.399e-04    12      2  |
   136 5.083e-01 1.319e+04    12     2  2.489e-04 | 4.157e-04    12      2  |
   137 5.083e-01 1.324e+04    12     2  2.987e-04 | 4.067e-04    12      2  |
   138 5.083e-01 1.329e+04    12     2  1.320e-03 | 6.437e-04    13      1  |
   139 5.083e-01 1.334e+04    12     2  2.055e-03 | 7.019e-04    13      1  |
   140 5.083e-01 1.339e+04    12     2  7.112e-04 | 4.087e-04    12      2  |
   141 5.083e-01 1.343e+04    12     2  1.030e-03 | 5.813e-04    12      2  |
   142 5.083e-01 1.348e+04    12     2  1.997e-03 | 6.994e-04    13      1  |
   143 5.083e-01 1.353e+04    12     2  3.916e-04 | 3.074e-04    12      2  |
   144 5.083e-01 1.358e+04    12     2  3.229e-04 | 4.005e-04    12      2  |
   145 5.083e-01 1.362e+04    12     2  1.379e-03 | 1.087e-03    12      2  |
   146 5.083e-01 1.367e+04    12     2  3.858e-04 | 4.727e-04    12      2  |
   147 5.083e-01 1.372e+04    12     2  4.997e-04 | 3.261e-04    12      2  |
   148 5.083e-01 1.376e+04    12     2  3.948e-04 | 3.069e-04    12      2  |
   149 5.083e-01 1.381e+04    12     2  9.944e-04 | 5.671e-04    12      2  |
 Epoch.   Obj.    alphak      #z   #nz   |egradf| |   optim     #pz    #pnz |
   150 5.083e-01 1.386e+04    12     2  1.014e-03 | 5.539e-04    12      2  |
   151 5.083e-01 1.390e+04    12     2  3.530e-04 | 4.988e-04    12      2  |
   152 5.083e-01 1.395e+04    12     2  7.813e-04 | 7.667e-04    12      2  |
   153 5.083e-01 1.399e+04    12     2  8.844e-04 | 5.346e-04    12      2  |
   154 5.083e-01 1.404e+04    12     2  1.009e-03 | 5.889e-04    12      2  |
   155 5.083e-01 1.409e+04    12     2  3.406e-04 | 3.219e-04    12      2  |
   156 5.083e-01 1.413e+04    12     2  3.043e-04 | 4.362e-04    12      2  |
   157 5.083e-01 1.418e+04    12     2  1.573e-03 | 6.279e-04    13      1  |
   158 5.083e-01 1.422e+04    12     2  3.114e-04 | 4.086e-04    12      2  |
   159 5.083e-01 1.427e+04    12     2  1.244e-03 | 9.661e-04    12      2  |
   160 5.083e-01 1.431e+04    12     2  1.563e-03 | 6.131e-04    13      1  |
   161 5.083e-01 1.436e+04    12     2  9.177e-04 | 7.748e-04    12      2  |
   162 5.083e-01 1.440e+04    12     2  4.014e-04 | 2.556e-04    12      2  |
   163 5.083e-01 1.444e+04    12     2  1.018e-03 | 5.317e-04    13      1  |
   164 5.083e-01 1.449e+04    12     2  3.302e-04 | 3.132e-04    12      2  |
   165 5.083e-01 1.453e+04    12     2  6.132e-04 | 3.193e-04    12      2  |
   166 5.083e-01 1.458e+04    12     2  3.224e-04 | 2.833e-04    12      2  |
   167 5.083e-01 1.462e+04    12     2  1.253e-03 | 5.729e-04    13      1  |
   168 5.083e-01 1.466e+04    12     2  4.031e-04 | 5.029e-04    12      2  |
   169 5.083e-01 1.471e+04    12     2  8.363e-04 | 4.678e-04    12      2  |
   170 5.083e-01 1.475e+04    12     2  3.476e-04 | 4.553e-04    12      2  |
   171 5.083e-01 1.479e+04    12     2  7.589e-04 | 7.280e-04    12      2  |
   172 5.083e-01 1.484e+04    12     2  7.386e-04 | 7.199e-04    12      2  |
   173 5.083e-01 1.488e+04    12     2  6.749e-04 | 6.642e-04    12      2  |
   174 5.083e-01 1.492e+04    12     2  4.336e-04 | 5.004e-04    12      2  |
   175 5.083e-01 1.497e+04    12     2  7.202e-04 | 4.158e-04    12      2  |
   176 5.083e-01 1.501e+04    12     2  7.580e-04 | 6.792e-04    12      2  |
   177 5.083e-01 1.505e+04    12     2  1.011e-03 | 5.378e-04    13      1  |
   178 5.083e-01 1.509e+04    12     2  1.384e-03 | 1.048e-03    12      2  |
   179 5.083e-01 1.514e+04    12     2  7.905e-04 | 6.938e-04    12      2  |
   180 5.083e-01 1.518e+04    12     2  8.551e-04 | 4.430e-04    12      2  |
   181 5.083e-01 1.522e+04    12     2  5.605e-04 | 3.019e-04    12      2  |
   182 5.083e-01 1.526e+04    12     2  8.262e-04 | 4.496e-04    12      2  |
   183 5.083e-01 1.531e+04    12     2  4.778e-04 | 4.797e-04    12      2  |
   184 5.083e-01 1.535e+04    12     2  9.569e-04 | 7.952e-04    12      2  |
   185 5.083e-01 1.539e+04    12     2  1.445e-03 | 5.810e-04    13      1  |
   186 5.083e-01 1.543e+04    12     2  1.062e-03 | 5.044e-04    13      1  |
   187 5.083e-01 1.547e+04    12     2  2.890e-04 | 2.741e-04    12      2  |
   188 5.083e-01 1.551e+04    12     2  1.092e-03 | 8.670e-04    12      2  |
   189 5.083e-01 1.555e+04    12     2  2.886e-04 | 3.143e-04    12      2  |
   190 5.083e-01 1.560e+04    12     2  5.272e-04 | 2.676e-04    12      2  |
   191 5.083e-01 1.564e+04    12     2  5.963e-04 | 3.121e-04    12      2  |
   192 5.083e-01 1.568e+04    12     2  1.273e-03 | 9.315e-04    12      2  |
   193 5.083e-01 1.572e+04    12     2  3.169e-04 | 2.614e-04    12      2  |
   194 5.083e-01 1.576e+04    12     2  9.808e-04 | 7.690e-04    12      2  |
   195 5.083e-01 1.580e+04    12     2  5.426e-04 | 5.559e-04    12      2  |
   196 5.083e-01 1.584e+04    12     2  9.598e-04 | 4.995e-04    13      1  |
   197 5.083e-01 1.588e+04    12     2  4.103e-04 | 3.040e-04    12      2  |
   198 5.083e-01 1.592e+04    12     2  6.017e-04 | 3.448e-04    12      2  |
   199 5.083e-01 1.596e+04    12     2  9.430e-04 | 4.901e-04    13      1  |
 Epoch.   Obj.    alphak      #z   #nz   |egradf| |   optim     #pz    #pnz |
   200 5.083e-01 1.600e+04    12     2  1.080e-03 | 4.880e-04    13      1  |
   201 5.083e-01 1.604e+04    12     2  6.514e-04 | 3.698e-04    12      2  |
   202 5.083e-01 1.608e+04    12     2  1.234e-03 | 5.310e-04    13      1  |
   203 5.083e-01 1.612e+04    12     2  6.427e-04 | 3.602e-04    12      2  |
   204 5.083e-01 1.616e+04    12     2  2.739e-04 | 2.693e-04    12      2  |
   205 5.083e-01 1.620e+04    12     2  8.532e-04 | 4.685e-04    12      2  |
   206 5.083e-01 1.624e+04    12     2  1.848e-03 | 6.051e-04    13      1  |
   207 5.083e-01 1.628e+04    12     2  1.222e-03 | 5.063e-04    13      1  |
   208 5.083e-01 1.632e+04    12     2  1.276e-03 | 9.418e-04    12      2  |
   209 5.083e-01 1.636e+04    12     2  3.664e-04 | 4.200e-04    12      2  |
   210 5.083e-01 1.640e+04    12     2  5.922e-04 | 3.433e-04    12      2  |
   211 5.083e-01 1.643e+04    12     2  6.498e-04 | 3.548e-04    12      2  |
   212 5.083e-01 1.647e+04    12     2  9.880e-04 | 4.871e-04    13      1  |
   213 5.083e-01 1.651e+04    12     2  3.745e-04 | 2.603e-04    12      2  |
   214 5.083e-01 1.655e+04    12     2  3.168e-04 | 2.477e-04    12      2  |
   215 5.083e-01 1.659e+04    12     2  4.822e-04 | 2.706e-04    12      2  |
   216 5.083e-01 1.663e+04    12     2  1.083e-03 | 8.263e-04    12      2  |
   217 5.083e-01 1.667e+04    12     2  1.077e-03 | 4.556e-04    13      1  |
   218 5.083e-01 1.670e+04    12     2  3.262e-04 | 2.413e-04    12      2  |
   219 5.083e-01 1.674e+04    12     2  3.528e-04 | 3.850e-04    12      2  |
   220 5.083e-01 1.678e+04    12     2  2.865e-04 | 2.965e-04    12      2  |
   221 5.083e-01 1.682e+04    12     2  6.148e-04 | 3.173e-04    12      2  |
   222 5.083e-01 1.686e+04    12     2  7.687e-04 | 4.010e-04    12      2  |
   223 5.083e-01 1.690e+04    12     2  1.266e-03 | 9.107e-04    12      2  |
   224 5.083e-01 1.693e+04    12     2  3.517e-04 | 2.344e-04    12      2  |
   225 5.083e-01 1.697e+04    12     2  9.287e-04 | 7.139e-04    12      2  |
   226 5.083e-01 1.701e+04    12     2  4.892e-04 | 4.603e-04    12      2  |
   227 5.083e-01 1.705e+04    12     2  5.016e-04 | 2.646e-04    12      2  |
   228 5.083e-01 1.708e+04    12     2  2.878e-04 | 3.487e-04    12      2  |
   229 5.083e-01 1.712e+04    12     2  2.930e-04 | 2.601e-04    12      2  |
   230 5.083e-01 1.716e+04    12     2  3.256e-04 | 2.409e-04    12      2  |
   231 5.083e-01 1.720e+04    12     2  3.793e-04 | 4.186e-04    12      2  |
   232 5.083e-01 1.723e+04    12     2  6.988e-04 | 5.944e-04    12      2  |
   233 5.083e-01 1.727e+04    12     2  1.341e-03 | 5.272e-04    13      1  |
   234 5.083e-01 1.731e+04    12     2  4.039e-04 | 4.398e-04    12      2  |
   235 5.083e-01 1.734e+04    12     2  4.498e-04 | 4.807e-04    12      2  |
   236 5.083e-01 1.738e+04    12     2  2.591e-04 | 2.612e-04    12      2  |
   237 5.083e-01 1.742e+04    12     2  2.527e-04 | 2.602e-04    12      2  |
   238 5.083e-01 1.745e+04    12     2  3.720e-04 | 2.692e-04    12      2  |
   239 5.083e-01 1.749e+04    12     2  2.923e-04 | 2.496e-04    12      2  |
   240 5.083e-01 1.753e+04    12     2  1.011e-03 | 4.650e-04    13      1  |
   241 5.083e-01 1.756e+04    12     2  7.378e-04 | 3.871e-04    12      2  |
   242 5.083e-01 1.760e+04    12     2  1.784e-03 | 5.783e-04    13      1  |
   243 5.083e-01 1.764e+04    12     2  2.381e-04 | 3.596e-04    12      2  |
   244 5.083e-01 1.767e+04    12     2  6.641e-04 | 3.472e-04    12      2  |
   245 5.083e-01 1.771e+04    12     2  5.537e-04 | 5.253e-04    12      2  |
   246 5.083e-01 1.775e+04    12     2  1.825e-03 | 1.205e-03    12      2  |
   247 5.083e-01 1.778e+04    12     2  8.003e-04 | 6.538e-04    12      2  |
   248 5.083e-01 1.782e+04    12     2  8.561e-04 | 4.353e-04    13      1  |
   249 5.083e-01 1.785e+04    12     2  3.707e-04 | 4.280e-04    12      2  |
 Epoch.   Obj.    alphak      #z   #nz   |egradf| |   optim     #pz    #pnz |
   250 5.083e-01 1.789e+04    12     2  3.867e-04 | 2.466e-04    12      2  |
   251 5.083e-01 1.792e+04    12     2  5.067e-04 | 5.116e-04    12      2  |
   252 5.083e-01 1.796e+04    12     2  8.376e-04 | 6.733e-04    12      2  |
   253 5.083e-01 1.800e+04    12     2  2.557e-04 | 2.367e-04    12      2  |
   254 5.083e-01 1.803e+04    12     2  7.961e-04 | 6.330e-04    12      2  |
   255 5.083e-01 1.807e+04    12     2  1.501e-03 | 5.009e-04    13      1  |
   256 5.083e-01 1.810e+04    12     2  8.614e-04 | 4.109e-04    13      1  |
   257 5.083e-01 1.814e+04    12     2  2.549e-04 | 2.290e-04    12      2  |
   258 5.083e-01 1.817e+04    12     2  5.913e-04 | 5.245e-04    12      2  |
   259 5.083e-01 1.821e+04    12     2  3.847e-04 | 3.946e-04    12      2  |
